iter	Passed	Remaining
0	138	138752
1	139	69519
2	139	46423
3	140	34874
4	140	27945
5	140	23325
6	141	20042
7	141	17576
8	142	15659
9	142	14117
10	142	12854
11	143	11801
12	143	10910
13	144	10145
14	144	9483
15	144	8903
16	145	8392
17	145	7936
18	145	7529
19	146	7163
20	146	6834
21	147	6535
22	147	6261
23	147	6009
24	148	5777
25	148	5562
26	148	5365
27	149	5181
28	149	5009
29	149	4849
30	150	4699
31	150	4558
32	151	4426
33	151	4302
34	151	4184
35	152	4075
36	152	3971
37	152	3872
38	153	3778
39	153	3689
40	154	3603
41	154	3523
42	154	3446
43	155	3372
44	155	3301
45	155	3234
46	156	3168
47	156	3106
48	157	3047
49	157	2990
50	157	2935
51	158	2882
52	158	2831
53	158	2782
54	159	2735
55	159	2689
56	159	2645
57	160	2602
58	160	2561
59	160	2522
60	161	2483
61	161	2446
62	162	2410
63	162	2375
64	162	2342
65	163	2310
66	163	2282
67	164	2252
68	164	2222
69	165	2193
70	165	2164
71	165	2137
72	166	2110
73	166	2083
74	166	2058
75	167	2033
76	167	2008
77	167	1985
78	168	1962
79	168	1939
80	169	1918
81	169	1897
82	169	1874
83	170	1854
84	170	1834
85	170	1815
86	171	1796
87	171	1777
88	171	1759
89	172	1741
90	172	1723
91	172	1706
92	173	1690
93	173	1673
94	174	1657
95	174	1642
96	174	1627
97	175	1612
98	175	1597
99	175	1583
100	176	1568
101	176	1554
102	176	1540
103	177	1527
104	177	1514
105	178	1501
106	178	1488
107	178	1476
108	179	1464
109	179	1452
110	179	1440
111	180	1429
112	180	1418
113	181	1407
114	181	1396
115	181	1386
116	182	1375
117	182	1364
118	182	1354
119	183	1344
120	183	1334
121	184	1324
122	184	1314
123	184	1305
124	185	1296
125	185	1287
126	185	1278
127	186	1269
128	186	1260
129	187	1251
130	187	1243
131	187	1234
132	188	1226
133	188	1218
134	188	1209
135	189	1201
136	189	1194
137	189	1186
138	190	1178
139	190	1170
140	190	1163
141	191	1155
142	191	1148
143	192	1141
144	192	1134
145	192	1127
146	193	1120
147	193	1113
148	193	1106
149	194	1100
150	194	1093
151	194	1087
152	195	1080
153	195	1074
154	195	1068
155	196	1061
156	196	1055
157	197	1050
158	197	1044
159	197	1038
160	197	1031
161	198	1026
162	198	1020
163	199	1014
164	199	1009
165	199	1003
166	200	998
167	200	992
168	200	987
169	201	982
170	201	977
171	201	972
172	202	967
173	202	962
174	203	957
175	203	952
176	203	947
177	204	942
178	204	937
179	204	933
180	205	928
181	205	923
182	205	919
183	206	914
184	206	910
185	206	905
186	207	901
187	207	897
188	208	893
189	208	889
190	208	885
191	209	880
192	209	876
193	210	872
194	210	868
195	210	864
196	211	860
197	211	856
198	211	852
199	212	848
200	212	844
201	212	840
202	213	837
203	213	833
204	214	830
205	214	826
206	214	822
207	215	819
208	215	815
209	215	812
210	216	808
211	216	805
212	217	802
213	217	798
214	217	795
215	218	791
216	218	788
217	218	785
218	219	782
219	219	778
220	220	775
221	220	772
222	220	769
223	221	766
224	221	763
225	222	760
226	222	757
227	222	754
228	223	751
229	223	749
230	224	746
231	224	743
232	225	741
233	225	738
234	226	736
235	226	734
236	227	731
237	228	730
238	228	728
239	229	726
240	229	723
241	230	721
242	230	718
243	231	716
244	231	713
245	231	710
246	232	708
247	232	705
248	233	703
249	233	700
250	233	697
251	234	695
252	234	692
253	234	689
254	235	687
255	235	685
256	236	682
257	236	680
